time,dt,mCS_xx,mCS_yy,mCS_zz,mD,mEE_xx,mEE_yy,mEE_zz,mTE_xx,mTE_yy,mTE_zz,ma,mb,ndof,nelem,num_lin_it,num_nonlin_it
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0001,0.0001,0.08000069419493,1.4043941517584e-08,1.6555970678598e-08,7.8298525609477e-05,5.0955850327998e-07,-1.528675107091e-07,-1.5286748990886e-07,5.0955850327976e-07,-1.52867510709e-07,-1.5286748990875e-07,4.6196130109591e-06,0.0068139291705328,673240,22406,45,2
0.00025,0.00015,0.20000182720924,3.5110202402678e-08,4.1391111099413e-08,7.8298526514371e-05,1.273896842413e-06,-3.821689520376e-07,-3.8216890003007e-07,1.273896842412e-06,-3.821689520371e-07,-3.8216890002955e-07,4.6196130643479e-06,0.0068139291705328,673240,22406,44,2
0.000475,0.000225,0.38000373310377,6.6708999079116e-08,7.8644900736141e-08,7.8298529049643e-05,2.4204056655898e-06,-7.2612150837963e-07,-7.2612140954733e-07,2.4204056655865e-06,-7.2612150837802e-07,-7.2612140954565e-07,4.6196132139289e-06,0.0068139291705328,673240,22406,44,2
0.0008125,0.0003375,0.65000705628785,1.1410701866702e-07,1.3452898852224e-07,7.8298535678709e-05,4.140171857943e-06,-1.2420512301786e-06,-1.2420510610794e-06,4.1401718579338e-06,-1.2420512301741e-06,-1.2420510610748e-06,4.6196136050438e-06,0.0068139291705328,673240,22406,44,2
0.00131875,0.00050625,1.055013085836,1.8520092120849e-07,2.1836022198888e-07,7.829855168901e-05,6.7198278010678e-06,-2.0159478092862e-06,-2.0159475347188e-06,6.7198278010443e-06,-2.0159478092747e-06,-2.0159475347068e-06,4.6196145496516e-06,0.0068139291705328,673240,22406,45,2
0.002078125,0.000759375,1.6625244809138,2.9183608974522e-07,3.4412027982067e-07,7.8298589710821e-05,1.0589326688706e-05,-3.176797169899e-06,-3.1767967369726e-06,1.0589326688649e-05,-3.1767971698709e-06,-3.1767967369433e-06,4.6196167929384e-06,0.0068139291705328,673240,22406,44,2
0.0032171875,0.0011390625,2.5737968627889,4.5177822202586e-07,5.3279175652551e-07,7.8298677911484e-05,1.6393608709669e-05,-4.9180813178089e-06,-4.9180806469961e-06,1.6393608709532e-05,-4.9180813177421e-06,-4.9180806469267e-06,4.6196219967775e-06,0.0068139291705328,673240,22406,44,2
0.00492578125,0.00170859375,3.9407173366224,6.9166674228719e-07,8.1586824180967e-07,7.8298880741803e-05,2.5100107543706e-05,-7.5300302807672e-06,-7.5300292523471e-06,2.5100107543388e-05,-7.5300302806112e-06,-7.5300292521851e-06,4.6196339637664e-06,0.0068139291705328,673240,22406,44,2
0.007488671875,0.002562890625,5.9911248253145,1.0514422079038e-06,1.240639108347e-06,7.8299343759404e-05,3.8160026354714e-05,-1.144800489391e-05,-1.1448003327312e-05,3.8160026353979e-05,-1.1448004893549e-05,-1.1448003326937e-05,4.6196612818048e-06,0.0068139291705328,673240,22406,43,2
0.0113330078125,0.0038443359375,9.0667963108891,1.5909786598696e-06,1.8781464216729e-06,7.8300396758437e-05,5.7750288344914e-05,-1.7325081947338e-05,-1.7325079569515e-05,5.7750288343223e-05,-1.7325081946507e-05,-1.7325079568654e-05,4.6197234087478e-06,0.0068139291705328,673240,22406,43,2
0.01709951171875,0.00576650390625,13.680439114789,2.3999980815108e-06,2.8351976195729e-06,7.8302786043433e-05,8.713654486771e-05,-2.6140956592344e-05,-2.6140952988781e-05,8.7136544863823e-05,-2.6140956590433e-05,-2.6140952986805e-05,4.6198643765625e-06,0.0068139291705328,673240,22406,44,2
